Location ID,10/12 Usage,11/12 Usage,12/12 Usage,1/13 Usage,2/13 Usage,3/13 Usage,4/13 Usage,5/13 Usage,6/13 Usage,7/13 Usage,8/13 Usage,9/13 Usage,Service Address
68534,5,4,4,5,5,2,3,4,6,8,6,8,210 HIRTH AVE
68538,2,2,2,2,1,2,1,1,2,2,2,4,208 HIRTH AVE 
68540,13,10,11,12,8,10,9,11,5,16,9,11,206 HIRTH AVE 
68542,6,5,4,4,5,2,0,0,5,8,7,7,511 W ASH ST 
68544,1,0,0,0,4,8,7,9,7,7,5,5,509 W ASH ST 
68546,5,3,4,3,4,2,4,4,3,4,3,4,507 W ASH ST 
68548,2,1,1,2,1,1,2,2,1,1,2,3,505 W ASH ST
68554,9,7,7,6,6,4,6,2,2,2,2,4,501 W ASH ST
68556,5,4,4,5,5,4,6,0,6,2,5,6,207 HIRTH AVE 
68558,1,0,1,1,0,1,0,1,1,0,1,1,209 HIRTH AVE
68560,0,0,0,0,0,0,0,0,0,1,1,3,211 HIRTH AVE APT
68562,3,3,5,3,4,4,4,5,3,3,5,4,211 HIRTH AVE 
68564,3,4,1,3,4,1,4,2,0,0,0,1,213 HIRTH AVE
68566,4,5,4,4,5,3,4,5,5,5,5,6,301 HIRTH AVE
68568,6,6,7,7,6,8,6,9,7,7,8,7,303 HIRTH AVE 
68570,2,6,3,6,5,3,3,5,4,3,4,3,305 HIRTH AVE 
68572,9,7,7,2,4,17,9,6,4,7,5,2,307 HIRTH AVE
68574,7,5,4,10,7,5,6,5,5,7,6,11,309 HIRTH AVE
68576,5,5,5,7,6,4,6,7,5,6,5,8,311 HIRTH AVE
68584,3,7,6,6,5,6,5,4,6,11,8,4,403 HIRTH AVE APT
68586,6,5,3,5,5,2,6,5,5,6,5,6,403 HIRTH AVE APT
68588,7,5,6,11,7,2,6,10,10,3,3,5,405 HIRTH AVE 
68590,2,2,2,2,4,0,1,3,2,3,2,2,407 HIRTH AVE
68598,7,8,6,10,7,8,7,5,4,4,4,4,411 HIRTH AVE 
68600,5,2,4,6,5,4,5,7,8,9,8,7,413 HIRTH AVE
68602,6,5,8,4,4,4,3,5,4,5,3,6,415 HIRTH AVE 
68604,6,6,5,5,5,1,3,3,4,4,2,3,417 HIRTH AVE 
68606,0,0,2,2,3,3,3,4,3,3,4,3,419 HIRTH AVE
68608,10,15,14,15,10,19,14,19,16,15,14,16,600 W WORLEY ST
68610,3,2,3,4,4,0,2,2,2,3,2,2,602 W WORLEY ST
68612,9,11,10,12,8,14,9,12,10,10,10,10,604 W WORLEY ST
68614,4,4,3,4,4,3,3,5,4,4,5,7,606 W WORLEY ST
68616,6,4,4,5,5,1,1,1,2,1,5,6,608 W WORLEY ST
68618,4,5,5,5,5,5,4,5,4,5,1,2,610 W WORLEY ST
68620,2,2,2,2,4,0,2,3,2,2,2,3,412 RIDGEWAY AVE 
68622,10,11,7,8,7,4,4,5,5,3,3,2,410 RIDGEWAY AVE 
68624,3,3,2,1,3,4,2,4,1,2,3,3,408 RIDGEWAY AVE
68626,2,1,1,2,3,1,3,2,3,0,2,3,406 RIDGEWAY AVE 
68628,6,6,6,6,5,6,7,7,5,9,5,6,404 RIDGEWAY AVE 
68630,4,5,4,4,5,3,4,4,0,1,3,3,402 RIDGEWAY AVE
68632,4,3,2,5,5,1,4,4,5,4,4,5,400 RIDGEWAY AVE 
68638,0,6,5,6,5,3,4,16,8,3,4,6,310 RIDGEWAY AVE
68640,4,2,2,5,5,2,4,5,3,3,26,9,308 RIDGEWAY AVE 
68642,2,3,2,3,4,0,4,2,6,8,11,12,306 RIDGEWAY AVE 
68644,9,4,0,0,1,0,0,0,0,0,0,1,304 RIDGEWAY AVE
68646,4,3,3,4,4,4,3,8,4,5,5,5,302 RIDGEWAY AVE
